player_id,player,pos,squad,age,standard_club,born,matches_played,standard_playing_time_starts,standard_playing_time_min,standard_playing_time_90s,goals,assists,standard_performance_g+a,standard_performance_g-pk,standard_performance_pk,standard_performance_pkatt,standard_performance_crdy,standard_performance_crdr,standard_per_90_minutes_gls,standard_per_90_minutes_ast,standard_per_90_minutes_g+a,standard_per_90_minutes_g-pk,standard_per_90_minutes_g+a-pk,shooting_90s,shooting_standard_gls,shots,shots_on_target,shooting_standard_sot%,shooting_standard_sh/90,shooting_standard_sot/90,shooting_standard_g/sh,shooting_standard_g/sot,shooting_standard_pk,shooting_standard_pkatt,misc_90s,yellow_cards,red_cards,misc_performance_2crdy,misc_performance_fls,misc_performance_fld,misc_performance_off,misc_performance_crs,misc_performance_int,misc_performance_tklw,misc_performance_pkwon,misc_performance_pkcon,misc_performance_og,playingtime_playing_time_mp,playingtime_playing_time_min,playingtime_playing_time_mn/mp,playingtime_playing_time_min%,playingtime_playing_time_90s,playingtime_starts_starts,playingtime_starts_mn/start,playingtime_starts_compl,playingtime_subs_subs,playingtime_subs_mn/sub,playingtime_subs_unsub,playingtime_team_success_ppm,playingtime_team_success_ong,playingtime_team_success_onga,playingtime_team_success_+/-,playingtime_team_success_+/-90,playingtime_team_success_on-off,minutes,played
119,Zineddine Belaïd,DF,dz Algeria,27,,1999,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,,0.0,0.0,,,0,0,0.3,0,0,0,0,0,1,0,0,0,,,0,2,25.0,13.0,6.9,0.3,0,,0,2,13.0,2,2.0,1.0,1.0,0.0,0.0,1.07,25,True
120,Rafik Belghali,DF,dz Algeria,24,,2002,4,4,331,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,3.7,1,3,1,33.3,0.82,0.27,0.33,1.0,0,0,3.7,0,0,0,4,2,0,4,1,3,,,0,4,331.0,83.0,91.9,3.7,4,83.0,2,0,,0,1.0,4.0,8.0,-4.0,-1.09,-1.09,331,True
121,Joe Bell,MF,nz New Zealand,27,,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7,0,1,0,0.0,0.37,0.0,0.0,,0,0,2.7,0,0,0,3,0,0,0,4,2,,,0,3,243.0,81.0,90.0,2.7,3,81.0,2,0,,0,0.33,3.0,7.0,-4.0,-1.48,5.19,243,True
122,Jean-Ricner Bellegarde,MF,ht Haiti,27,,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.9,0,6,0,0.0,2.08,0.0,0.0,,0,0,2.9,1,0,0,4,5,0,10,3,2,,,0,3,260.0,87.0,96.3,2.9,3,87.0,2,0,,0,0.0,2.0,8.0,-6.0,-2.08,-2.08,260,True
123,Jude Bellingham,MF,eng England,22,,2003,8,7,614,6.8,7,1,8,7,0,0,1,0,1.03,0.15,1.17,1.03,1.17,6.8,7,19,13,68.4,2.79,1.91,0.37,0.54,0,0,6.8,1,0,0,9,17,1,8,3,10,,,0,8,614.0,77.0,81.9,6.8,7,86.0,3,1,12.0,0,2.38,15.0,9.0,6.0,0.88,-0.44,614,True
124,Mortadha Ben Ouanes,"DF,MF",tn Tunisia,31,,1994,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0,,0.0,0.0,,,0,0,0.3,0,0,0,0,1,0,0,0,0,,,0,1,23.0,23.0,8.5,0.3,0,,0,1,23.0,2,0.0,0.0,0.0,0.0,0.0,3.64,23,True
125,Anis Ben Slimane,"MF,FW",tn Tunisia,25,,2001,3,3,240,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.7,0,1,1,100.0,0.37,0.37,0.0,0.0,0,0,2.7,0,0,0,0,0,2,6,2,2,,,0,3,240.0,80.0,88.9,2.7,3,80.0,1,0,,0,0.0,2.0,11.0,-9.0,-3.38,-0.38,240,True
126,Oussama Benbot,GK,dz Algeria,31,,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,0.0,0.0,,,0,0,1.0,0,0,0,0,1,0,0,0,0,,,0,1,90.0,90.0,25.0,1.0,1,90.0,1,0,,3,1.0,3.0,3.0,0.0,0.0,1.33,90,True
127,Nadhir Benbouali,FW,dz Algeria,26,,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2.0,2.0,0.5,1,2,2,100.0,4.0,4.0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,1,,,0,1,45.0,45.0,12.5,0.5,0,,0,1,45.0,2,3.0,2.0,0.0,2.0,4.0,5.71,45,True
128,Gilson Benchimol,FW,cv Cabo Verde,24,,2001,2,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0,0,0,,0.0,0.0,,,0,0,0.9,0,0,0,0,1,0,0,0,0,,,0,2,78.0,39.0,20.0,0.9,1,57.0,0,1,21.0,2,0.5,2.0,3.0,-1.0,-1.15,-1.15,78,True
129,Ramy Bensebaini,DF,dz Algeria,31,,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0,2,0,0.0,0.5,0.0,0.0,,0,0,4.0,0,0,0,1,5,0,0,7,6,,,0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,5.0,9.0,-4.0,-1.0,,360,True
130,Nabil Bentaleb,MF,dz Algeria,31,,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.2,0,1,0,0.0,0.32,0.0,0.0,,0,0,3.2,0,0,0,2,3,0,3,3,4,,,0,4,285.0,71.0,79.2,3.2,3,80.0,1,1,45.0,0,1.0,5.0,8.0,-3.0,-0.95,0.25,285,True
131,Rodrigo Bentancur,MF,uy Uruguay,28,,1997,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.0,0,4,0,0.0,1.33,0.0,0.0,,0,0,3.0,1,0,0,7,5,0,4,7,5,,,0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.67,3.0,4.0,-1.0,-0.33,,270,True
132,Patrick Berg,MF,no Norway,28,,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0.0,0.4,0.4,0.0,0.4,4.9,0,3,0,0.0,0.61,0.0,0.0,,0,0,4.9,1,0,0,4,2,0,11,2,7,,,0,6,445.0,74.0,78.1,4.9,4,98.0,4,2,28.0,0,2.0,9.0,10.0,-1.0,-0.2,-2.36,445,True
133,Sander Berge,MF,no Norway,28,,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.3,0,0,0,,0.0,0.0,,,0,0,5.3,0,0,0,6,2,0,1,9,4,,,0,5,480.0,96.0,84.2,5.3,5,96.0,5,0,,1,2.4,12.0,7.0,5.0,0.94,3.94,480,True
134,Lucas Bergvall,MF,se Sweden,20,,2006,4,1,181,2.0,0,1,1,0,0,0,1,0,0.0,0.5,0.5,0.0,0.5,2.0,0,2,0,0.0,0.99,0.0,0.0,,0,0,2.0,1,0,0,7,4,0,3,2,2,,,0,4,181.0,45.0,50.3,2.0,1,65.0,0,3,39.0,0,1.0,4.0,4.0,0.0,0.0,1.51,181,True
135,Sebastian Berhalter,MF,us USA,25,,2001,5,1,187,2.1,1,1,2,1,0,0,1,0,0.48,0.48,0.96,0.48,0.96,2.1,1,3,1,33.3,1.44,0.48,0.33,1.0,0,0,2.1,1,0,0,5,6,0,11,3,0,,,0,5,187.0,37.0,41.6,2.1,1,90.0,1,4,24.0,0,1.8,3.0,5.0,-2.0,-0.96,-2.67,187,True
136,Alexander Bernhardsson,MF,se Sweden,27,,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.4,0,1,1,100.0,0.41,0.41,0.0,0.0,0,0,2.4,0,0,0,2,4,0,3,2,2,,,0,3,217.0,72.0,60.3,2.4,3,72.0,0,0,,1,1.33,5.0,6.0,-1.0,-0.41,0.84,217,True
137,Tyler Bindon,DF,nz New Zealand,21,,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,2,1,50.0,1.86,0.93,0.0,0.0,0,0,1.1,0,0,0,2,1,0,2,1,2,,,0,3,97.0,32.0,35.9,1.1,1,90.0,1,2,4.0,0,0.33,1.0,5.0,-4.0,-3.71,-2.67,97,True
138,César Blackman,"MF,DF",pa Panama,28,,1998,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,0,2,1,50.0,1.01,0.51,0.0,0.0,0,0,2.0,1,0,0,2,2,1,0,1,0,,,0,2,178.0,89.0,65.9,2.0,2,89.0,0,0,,1,0.0,0.0,1.0,-1.0,-0.51,2.43,178,True
139,Damián Bobadilla,MF,py Paraguay,24,,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1,0,0,0,,0.0,0.0,,,0,0,2.1,0,0,0,1,1,0,1,5,3,,,1,4,189.0,47.0,39.4,2.1,2,72.0,0,2,23.0,1,1.25,1.0,4.0,-3.0,-1.43,-1.43,189,True
140,Oscar Bobb,FW,no Norway,22,,2003,6,1,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0,4,2,50.0,1.6,0.8,0.0,0.0,0,0,2.5,0,0,0,1,4,0,2,3,3,,,0,6,225.0,38.0,39.5,2.5,1,82.0,0,5,29.0,0,2.0,6.0,7.0,-1.0,-0.4,-1.18,225,True
141,Moïse Bombito,DF,ca Canada,26,,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.1,0,1,1,100.0,0.47,0.47,0.0,0.0,0,0,2.1,0,0,0,2,0,0,0,1,0,,,0,3,193.0,64.0,42.9,2.1,2,74.0,1,1,45.0,2,2.0,3.0,3.0,0.0,0.0,-1.05,193,True
142,Theo Bongonda,"FW,MF",cd Congo DR,30,,1995,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0,1,0,0.0,2.65,0.0,0.0,,0,0,0.4,0,0,0,0,1,0,2,1,0,,,0,2,34.0,17.0,9.4,0.4,0,,0,2,17.0,2,1.5,2.0,1.0,1.0,2.65,2.92,34,True
143,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,,2003,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.6,0,1,1,100.0,0.38,0.38,0.0,0.0,0,0,2.6,0,0,0,1,3,1,1,1,2,,,0,4,234.0,59.0,65.0,2.6,3,66.0,0,1,35.0,0,1.5,4.0,2.0,2.0,0.77,1.48,234,True
144,Jordy Bos,"MF,DF",au Australia,23,,2002,4,4,308,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,3.4,0,5,2,40.0,1.46,0.58,0.0,0.0,0,0,3.4,1,0,0,4,4,0,8,3,3,,,0,4,308.0,77.0,79.0,3.4,4,77.0,2,0,,0,1.25,2.0,3.0,-1.0,-0.29,-1.39,308,True
145,Ayyoub Bouaddi,MF,ma Morocco,18,,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.2,0,3,0,0.0,0.71,0.0,0.0,,0,0,4.2,0,0,0,3,6,0,0,1,3,,,0,5,381.0,76.0,66.8,4.2,5,76.0,2,0,,1,1.6,3.0,3.0,0.0,0.0,-1.9,381,True
146,Hicham Boudaoui,MF,dz Algeria,26,,1999,3,2,128,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.4,0,0,0,,0.0,0.0,,,0,0,1.4,1,0,0,4,1,0,1,2,1,,,0,3,128.0,43.0,35.6,1.4,2,54.0,0,1,20.0,1,1.0,0.0,3.0,-3.0,-2.11,-1.72,128,True
147,Karim Boudiaf,MF,qa Qatar,35,,1990,2,1,102,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,0,1,0,0.0,0.88,0.0,0.0,,0,0,1.1,0,0,0,0,2,0,0,0,0,,,0,2,102.0,51.0,37.8,1.1,1,71.0,0,1,31.0,1,0.5,2.0,2.0,0.0,0.0,4.29,102,True
148,Adil Boulbina,FW,dz Algeria,23,,2003,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,,0.0,0.0,,,0,0,0.2,0,0,0,0,0,1,0,0,0,,,0,2,19.0,10.0,5.3,0.2,0,,0,2,10.0,2,0.0,0.0,0.0,0.0,0.0,1.06,19,True
149,Yassine Bounou,GK,ma Morocco,35,,1991,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.3,0,0,0,,0.0,0.0,,,0,0,6.3,0,0,0,0,4,0,0,0,0,,,1,6,570.0,95.0,100.0,6.3,6,95.0,6,0,,0,1.83,10.0,6.0,4.0,0.63,,570,True
150,Nawaf Boushal,DF,sa Saudi Arabia,26,,1999,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,,0.0,0.0,,,0,0,1.0,0,0,0,1,1,0,0,1,0,,,0,2,91.0,46.0,33.7,1.0,1,81.0,0,1,10.0,1,1.0,0.0,0.0,0.0,0.0,2.01,91,True
151,Michael Boxall,DF,nz New Zealand,37,,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.3,0,0,0,,0.0,0.0,,,0,0,2.3,0,0,0,2,2,0,1,2,1,,,0,3,207.0,69.0,76.7,2.3,2,90.0,2,1,27.0,0,0.33,4.0,8.0,-4.0,-1.74,1.12,207,True
152,Sultan Al-Brake,DF,qa Qatar,30,,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.6,0,0,0,,0.0,0.0,,,0,0,1.6,0,0,0,2,0,0,5,2,1,,,0,2,141.0,71.0,52.2,1.6,1,90.0,1,1,51.0,1,0.0,1.0,7.0,-6.0,-3.83,-2.43,141,True
153,Joshua Brenet,DF,cw Curaçao,32,,1994,2,2,179,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,,0.0,0.0,,,0,0,2.0,0,0,0,0,1,1,0,1,4,,,0,2,179.0,90.0,66.3,2.0,2,90.0,1,0,,1,0.5,0.0,2.0,-2.0,-1.01,4.93,179,True
154,Brian Brobbey,FW,nl Netherlands,24,,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.0,1.21,1.21,1.21,2.5,3,4,3,75.0,1.61,1.21,0.75,1.0,0,0,2.5,0,0,0,4,3,2,1,0,1,,,0,4,223.0,56.0,57.2,2.5,3,72.0,0,1,6.0,0,2.0,7.0,3.0,4.0,1.61,0.54,223,True
155,Dylan Bronn,DF,tn Tunisia,30,,1995,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,,0.0,0.0,,,0,0,0.5,0,0,0,1,0,0,0,1,0,,,0,1,45.0,45.0,16.7,0.5,1,45.0,0,0,,2,0.0,0.0,2.0,-2.0,-4.0,-0.8,45,True
156,Nathaniel Brown,DF,de Germany,22,,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,3.1,1,3,2,66.7,0.96,0.64,0.33,0.5,0,0,3.1,0,0,0,4,1,0,17,2,6,,,0,3,282.0,94.0,72.3,3.1,3,94.0,2,0,,0,2.33,8.0,3.0,5.0,1.6,0.76,282,True
